                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.3983,                0.28888,                0.87908,                0.92495,                0.98602,                      1,                  0.995,                0.93732,                0.98602,                      1,                  0.995,                  0.995,                 0.4017,                0.18978,                 1.0122,                0.88091,             0.00064944,             0.00064944,             0.00064944
                     26,                0.35215,                0.23287,                0.79822,                 0.8857,                0.96324,                 0.9986,                  0.995,                0.94979,                0.96324,                 0.9986,                  0.995,                  0.995,                0.38769,                 0.2219,                 1.0231,                0.86557,             0.00063125,             0.00063125,             0.00063125
                     27,                0.34988,                0.37716,                0.80922,                0.88118,                0.96328,                 0.9884,                  0.995,                0.91921,                0.96328,                 0.9884,                  0.995,                  0.995,                0.36614,                0.21965,                0.99174,                0.83971,             0.00063125,             0.00063125,             0.00063125
                     28,                0.36796,                0.27297,                0.84331,                0.86999,                0.96556,                0.99518,                  0.995,                0.95347,                0.96556,                0.99518,                  0.995,                  0.995,                0.31317,                0.19586,                0.91959,                 0.8236,              0.0006065,              0.0006065,              0.0006065
                     29,                0.35812,                0.26803,                0.76488,                0.87051,                0.98322,                      1,                  0.995,                0.96852,                0.98322,                      1,                  0.995,                  0.995,                0.29443,                0.17654,                 0.8584,                0.80892,             0.00058175,             0.00058175,             0.00058175
                     30,                0.33189,                0.21509,                0.75893,                0.91068,                0.98233,                      1,                  0.995,                0.97159,                0.98233,                      1,                  0.995,                  0.995,                0.29351,                  0.164,                0.85134,                0.80947,               0.000557,               0.000557,               0.000557
                     31,                0.33896,                0.26247,                0.73687,                0.87892,                0.98475,                      1,                  0.995,                0.96071,                0.98475,                      1,                  0.995,                  0.995,                0.30004,                0.14869,                0.89173,                 0.8209,             0.00053225,             0.00053225,             0.00053225
                     32,                0.34511,                0.32271,                0.77911,                0.89191,                0.98698,                      1,                  0.995,                0.95288,                0.98698,                      1,                  0.995,                  0.995,                0.32384,                0.14474,                0.88786,                0.82626,              0.0005075,              0.0005075,              0.0005075
                     33,                0.34509,                0.30256,                0.77074,                0.87736,                0.98477,                      1,                  0.995,                0.97474,                0.98477,                      1,                  0.995,                  0.995,                0.29727,                0.15292,                0.85349,                0.81012,             0.00048275,             0.00048275,             0.00048275
                     34,                0.32071,                0.22168,                0.71026,                0.86161,                0.98802,                      1,                  0.995,                0.98876,                0.98802,                      1,                  0.995,                  0.995,                 0.2738,                0.16245,                0.80361,                0.79419,               0.000458,               0.000458,               0.000458
                     35,                0.32636,                0.22162,                 0.7023,                0.88612,                0.98722,                      1,                  0.995,                  0.995,                0.98722,                      1,                  0.995,                  0.995,                0.27008,                0.16744,                 0.7828,                0.79272,             0.00043325,             0.00043325,             0.00043325
                     36,                0.30932,                0.21112,                0.67871,                0.87524,                0.98659,                      1,                  0.995,                0.97263,                0.98659,                      1,                  0.995,                  0.995,                 0.2587,                 0.1711,                0.76762,                0.79283,              0.0004085,              0.0004085,              0.0004085
                     37,                0.32787,                0.25231,                0.70054,                0.86397,                0.98624,                      1,                  0.995,                0.98043,                0.98624,                      1,                  0.995,                  0.995,                0.25162,                0.16232,                0.76864,                0.79932,             0.00038375,             0.00038375,             0.00038375
                     38,                0.27531,                0.19809,                0.64196,                0.88415,                 0.9871,                      1,                  0.995,                0.96902,                 0.9871,                      1,                  0.995,                  0.995,                0.24556,                0.15133,                0.77858,                 0.7992,               0.000359,               0.000359,               0.000359
                     39,                0.32516,                0.23064,                0.69163,                0.87321,                0.98614,                      1,                  0.995,                0.97839,                0.98614,                      1,                  0.995,                  0.995,                0.25468,                0.14209,                0.76759,                0.79661,             0.00033425,             0.00033425,             0.00033425
                     40,                0.30935,                0.27844,                0.68642,                0.85898,                0.98036,                      1,                  0.995,                 0.9872,                0.98036,                      1,                  0.995,                  0.995,                0.25854,                0.13904,                0.78061,                0.79459,              0.0003095,              0.0003095,              0.0003095
                     41,                0.23791,                0.17683,                 1.1549,                0.84151,                0.95207,                      1,                  0.995,                0.98563,                0.95207,                      1,                  0.995,                  0.995,                0.26184,                0.14031,                0.87634,                0.78816,             0.00028475,             0.00028475,             0.00028475
                     42,                0.22438,                0.17015,                 1.1074,                0.83619,                0.91307,                      1,                  0.995,                  0.995,                0.91307,                      1,                  0.995,                  0.995,                0.25239,                0.14405,                 1.0558,                0.78487,                0.00026,                0.00026,                0.00026
                     43,                0.22801,                0.15238,                 1.0838,                 0.8374,                0.93379,                      1,                  0.995,                  0.995,                0.93379,                      1,                  0.995,                  0.995,                0.23264,                0.14745,                  1.129,                0.78377,             0.00023525,             0.00023525,             0.00023525
                     44,                0.24537,                0.16472,                  1.101,                0.82418,                0.97566,                0.99867,                  0.995,                  0.995,                0.97566,                0.99867,                  0.995,                  0.995,                0.21441,                0.15023,                 1.0662,                0.77858,              0.0002105,              0.0002105,              0.0002105
                     45,                0.23256,                0.16754,                 1.1203,                0.82731,                0.98087,                      1,                  0.995,                  0.995,                0.98087,                      1,                  0.995,                  0.995,                0.20507,                0.15715,                0.92389,                0.77323,             0.00018575,             0.00018575,             0.00018575
                     46,                 0.2066,                0.16016,                 1.0605,                 0.8165,                 0.9866,                      1,                  0.995,                  0.995,                 0.9866,                      1,                  0.995,                  0.995,                0.20698,                0.15769,                 0.8028,                0.77379,               0.000161,               0.000161,               0.000161
                     47,                0.21808,                0.14643,                0.99007,                0.85057,                0.98873,                      1,                  0.995,                  0.995,                0.98873,                      1,                  0.995,                  0.995,                0.21267,                0.15765,                0.74836,                0.77602,             0.00013625,             0.00013625,             0.00013625
                     48,                0.20562,                 0.1506,                 1.0078,                0.83008,                0.98889,                      1,                  0.995,                  0.995,                0.98889,                      1,                  0.995,                  0.995,                0.21708,                0.15656,                0.72098,                0.77655,              0.0001115,              0.0001115,              0.0001115
                     49,                0.21945,                0.14593,                0.99424,                 0.8031,                0.98859,                      1,                  0.995,                  0.995,                0.98859,                      1,                  0.995,                  0.995,                0.22041,                0.15496,                0.70459,                0.77625,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.20551,                0.14285,                 1.0078,                0.81587,                0.98845,                      1,                  0.995,                  0.995,                0.98845,                      1,                  0.995,                  0.995,                0.22357,                0.15394,                0.68988,                0.77575,                6.2e-05,                6.2e-05,                6.2e-05
