                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0522,                 5.1144,                 1.3554,                      0,                      0,                      0,                      0,                 2.0918,                 5.0194,                 1.0826,              6.575e-05,              6.575e-05,              6.575e-05
                      2,                 2.0968,                  4.721,                 1.2156,                0.01474,                 0.0094,                0.01038,                0.00608,                 2.2283,                 4.6808,                 1.0808,             0.00013147,             0.00013147,             0.00013147
                      3,                 2.2522,                  4.151,                 1.1592,                0.01484,                0.04009,                0.01719,                0.00901,                   2.33,                  3.777,                 1.1078,             0.00019449,             0.00019449,             0.00019449
                      4,                 2.2424,                 3.7738,                 1.1337,                0.59003,                0.02313,                0.02303,                0.01225,                 2.3409,                  3.571,                 1.0841,             0.00024738,             0.00024738,             0.00024738
                      5,                 2.2348,                 3.5423,                 1.1166,                0.55424,                0.03199,                0.02511,                0.01321,                 2.3952,                 3.3082,                 1.0782,             0.00024738,             0.00024738,             0.00024738
                      6,                 2.2609,                 3.2518,                 1.1119,                0.55079,                0.03531,                0.02724,                0.01451,                 2.4253,                 3.0529,                 1.0932,             0.00024217,             0.00024217,             0.00024217
                      7,                 2.2243,                 3.1422,                 1.0911,                0.52091,                0.03894,                0.03066,                0.01589,                 2.3995,                  2.953,                 1.0754,             0.00023696,             0.00023696,             0.00023696
                      8,                 2.2159,                 2.9692,                 1.0811,                0.50818,                0.03544,                0.03252,                0.01686,                 2.3549,                 3.2989,                 1.0663,             0.00023176,             0.00023176,             0.00023176
                      9,                 2.1812,                  2.851,                 1.0704,                0.53317,                0.03796,                0.03148,                0.01625,                 2.3419,                 3.0296,                 1.0706,             0.00022655,             0.00022655,             0.00022655
                     10,                 2.1864,                 2.7495,                 1.0645,                0.02646,                0.07395,                0.03612,                0.01798,                  2.367,                 2.8303,                 1.0801,             0.00022134,             0.00022134,             0.00022134
                     11,                 2.1569,                 2.6151,                 1.0618,                0.03252,                 0.0803,                0.04318,                0.02244,                 2.2942,                 2.9294,                 1.0478,             0.00021613,             0.00021613,             0.00021613
                     12,                 2.1194,                 2.4845,                 1.0455,                0.51137,                0.05421,                0.04298,                0.02197,                 2.3315,                 2.9802,                 1.0526,             0.00021093,             0.00021093,             0.00021093
                     13,                 2.1263,                   2.41,                 1.0436,                0.37326,                0.06189,                0.04822,                0.02527,                 2.3344,                  2.771,                 1.0447,             0.00020572,             0.00020572,             0.00020572
                     14,                 2.1258,                  2.354,                 1.0333,                0.37298,                  0.066,                0.05116,                 0.0266,                 2.3536,                 2.5808,                 1.0507,             0.00020051,             0.00020051,             0.00020051
                     15,                 2.0786,                 2.2929,                 1.0343,                0.29674,                0.07515,                0.05911,                0.03251,                 2.3101,                 2.7147,                 1.0544,              0.0001953,              0.0001953,              0.0001953
                     16,                 2.0195,                 2.2247,                 1.0217,                0.05248,                0.11925,                0.06956,                0.04054,                 2.2973,                 2.6897,                 1.0364,              0.0001901,              0.0001901,              0.0001901
                     17,                 2.0497,                 2.1923,                 1.0192,                0.25244,                0.10545,                0.07093,                0.04087,                 2.2515,                 2.5995,                 1.0286,             0.00018489,             0.00018489,             0.00018489
                     18,                 2.0406,                 2.1545,                 1.0241,                0.25869,                0.10273,                0.07514,                0.04166,                 2.2966,                 2.5111,                 1.0346,             0.00017968,             0.00017968,             0.00017968
                     19,                 2.0173,                  2.087,                 1.0189,                0.30585,                0.09604,                0.08214,                0.04575,                 2.2844,                 2.5316,                 1.0413,             0.00017447,             0.00017447,             0.00017447
                     20,                 1.9996,                 2.0619,                 1.0144,                0.20392,                0.12476,                0.07769,                0.04432,                 2.2696,                 2.4183,                 1.0303,             0.00016927,             0.00016927,             0.00016927
                     21,                 1.9704,                 1.9922,                 1.0067,                0.32885,                0.10761,                0.08348,                0.04708,                 2.2351,                 2.4045,                 1.0311,             0.00016406,             0.00016406,             0.00016406
                     22,                 1.9964,                 1.9694,                 1.0141,                0.27308,                0.11429,                0.08984,                0.05051,                 2.2601,                 2.3372,                  1.024,             0.00015885,             0.00015885,             0.00015885
                     23,                 1.9694,                 1.9081,                 1.0027,                0.29628,                0.10925,                0.08823,                0.04957,                 2.2547,                 2.3035,                 1.0344,             0.00015364,             0.00015364,             0.00015364
                     24,                 1.9406,                 1.9081,                0.99727,                0.28604,                0.11892,                0.08697,                0.04874,                 2.2491,                 2.4089,                 1.0318,             0.00014844,             0.00014844,             0.00014844
                     25,                 1.9717,                 1.8849,                  1.004,                0.30116,                0.10758,                0.09052,                0.05114,                 2.2475,                 2.4108,                 1.0341,             0.00014323,             0.00014323,             0.00014323
                     26,                 1.9458,                 1.8813,                0.99998,                0.27206,                0.11233,                0.09794,                 0.0554,                 2.2617,                 2.2974,                   1.04,             0.00013802,             0.00013802,             0.00013802
                     27,                 1.9232,                 1.8252,                0.99354,                0.23525,                0.11412,                0.09813,                0.05498,                 2.2409,                 2.2536,                 1.0332,             0.00013281,             0.00013281,             0.00013281
                     28,                 1.9562,                 1.8511,                0.99911,                0.23758,                0.11986,                0.10104,                 0.0573,                 2.2311,                 2.2399,                 1.0344,             0.00012761,             0.00012761,             0.00012761
                     29,                 1.9371,                 1.7447,                0.99319,                0.22131,                0.12457,                0.10392,                0.05961,                 2.2016,                 2.2173,                 1.0292,              0.0001224,              0.0001224,              0.0001224
                     30,                 1.9019,                 1.8042,                0.98687,                0.22266,                0.12381,                 0.1052,                0.06137,                 2.2217,                 2.2332,                 1.0279,             0.00011719,             0.00011719,             0.00011719
                     31,                 1.8818,                 1.7732,                0.98578,                0.28929,                0.12462,                0.10921,                0.06477,                 2.2315,                 2.2828,                 1.0248,             0.00011199,             0.00011199,             0.00011199
                     32,                 1.8999,                 1.7323,                0.98601,                0.25328,                0.12263,                0.10964,                0.06329,                 2.2344,                 2.2079,                 1.0298,             0.00010678,             0.00010678,             0.00010678
                     33,                 1.8445,                 1.7202,                0.98397,                0.25258,                0.12611,                0.10588,                0.06098,                 2.2051,                  2.158,                 1.0274,             0.00010157,             0.00010157,             0.00010157
                     34,                 1.8566,                 1.6535,                0.99025,                0.25908,                0.12597,                 0.1085,                0.06338,                 2.1971,                 2.2321,                 1.0299,             9.6363e-05,             9.6363e-05,             9.6363e-05
                     35,                 1.8587,                 1.6913,                0.98586,                0.26399,                0.12369,                0.10839,                 0.0628,                 2.2041,                  2.201,                 1.0309,             9.1156e-05,             9.1156e-05,             9.1156e-05
                     36,                 1.8932,                 1.7115,                0.98633,                0.28872,                0.11919,                 0.1141,                0.06731,                 2.2221,                 2.1759,                 1.0378,             8.5948e-05,             8.5948e-05,             8.5948e-05
                     37,                 1.8527,                 1.6607,                0.97642,                0.32334,                0.12699,                0.11629,                0.06689,                 2.2418,                 2.2344,                 1.0447,             8.0741e-05,             8.0741e-05,             8.0741e-05
                     38,                 1.8469,                 1.6617,                0.98449,                0.29227,                0.12094,                 0.1128,                 0.0671,                 2.2195,                 2.2685,                 1.0402,             7.5534e-05,             7.5534e-05,             7.5534e-05
                     39,                 1.8441,                 1.6573,                0.97388,                0.22817,                0.12289,                0.11408,                0.06686,                 2.2142,                 2.1949,                 1.0345,             7.0326e-05,             7.0326e-05,             7.0326e-05
                     40,                 1.8446,                 1.6552,                0.98281,                0.23553,                0.12848,                0.11643,                0.06959,                 2.1984,                 2.1527,                  1.032,             6.5119e-05,             6.5119e-05,             6.5119e-05
                     41,                 1.8821,                 1.7592,                0.99876,                0.22215,                0.12876,                0.11408,                  0.065,                  2.189,                 2.0867,                 1.0281,             5.9911e-05,             5.9911e-05,             5.9911e-05
                     42,                  1.858,                 1.6914,                0.99779,                0.15179,                 0.1285,                0.11338,                0.06438,                 2.2182,                 2.0781,                 1.0376,             5.4704e-05,             5.4704e-05,             5.4704e-05
                     43,                 1.8333,                 1.6405,                0.98041,                0.14595,                0.14212,                0.11299,                0.06511,                 2.1901,                 2.0685,                 1.0319,             4.9497e-05,             4.9497e-05,             4.9497e-05
