                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2432,                 4.8516,                 1.5146,                      0,                      0,                      0,                      0,                  1.964,                 4.8076,                 1.3656,                1.5e-05,                1.5e-05,                1.5e-05
                      2,                 2.1385,                 4.8239,                 1.4323,                      0,                      0,                      0,                      0,                 1.8766,                 4.7669,                 1.3019,             3.4827e-05,             3.4827e-05,             3.4827e-05
                      3,                 2.0307,                 4.7265,                 1.3351,                      0,                      0,                      0,                      0,                 1.8029,                 4.6969,                 1.2228,             5.4456e-05,             5.4456e-05,             5.4456e-05
                      4,                 1.9452,                 4.5467,                 1.2442,                   0.05,                0.00526,                0.02814,                0.01462,                 1.7774,                 4.6129,                 1.1724,             7.3886e-05,             7.3886e-05,             7.3886e-05
                      5,                  2.069,                 4.3535,                 1.2668,                   0.05,                0.00944,                0.03006,                0.01712,                 1.7554,                 4.5729,                 1.1394,             9.3119e-05,             9.3119e-05,             9.3119e-05
                      6,                 1.9126,                 4.2074,                 1.1753,                0.03423,                0.03141,                0.02648,                0.01412,                 1.7698,                 4.5175,                 1.1276,             0.00011215,             0.00011215,             0.00011215
                      7,                 1.8336,                 4.0704,                 1.1444,                0.02684,                0.05715,                0.03467,                0.01971,                 1.7328,                  4.444,                 1.1008,             0.00013099,             0.00013099,             0.00013099
                      8,                 1.8591,                 3.9026,                 1.1224,                0.02375,                0.07451,                0.04727,                0.02894,                 1.6928,                 4.3584,                 1.0778,             0.00014963,             0.00014963,             0.00014963
                      9,                 1.8305,                 3.6932,                 1.0856,                0.01888,                0.08554,                0.05553,                0.03608,                  1.672,                 4.2427,                 1.0629,             0.00016807,             0.00016807,             0.00016807
                     10,                 1.8666,                 3.4699,                 1.1115,                0.02708,                0.10698,                 0.0706,                0.04646,                 1.6639,                 4.0889,                 1.0462,             0.00018631,             0.00018631,             0.00018631
                     11,                 1.8091,                 3.2917,                 1.0845,                0.92763,                0.04128,                0.08708,                0.05629,                 1.6677,                  3.924,                  1.037,             0.00020436,             0.00020436,             0.00020436
                     12,                 1.7901,                 3.1538,                 1.0661,                0.91426,                0.05459,                0.09879,                 0.0619,                 1.6766,                 3.7365,                 1.0361,              0.0002222,              0.0002222,              0.0002222
                     13,                 1.7283,                 3.0279,                 1.0473,                 0.9088,                0.06625,                0.11395,                0.06833,                 1.6918,                 3.5456,                 1.0356,             0.00023985,             0.00023985,             0.00023985
                     14,                 1.8029,                 2.9108,                 1.0576,                0.72034,                0.10566,                0.16081,                0.09395,                 1.6856,                 3.4242,                 1.0325,              0.0002573,              0.0002573,              0.0002573
                     15,                 1.7862,                 2.7734,                 1.0473,                0.54132,                 0.1581,                0.19569,                 0.1109,                 1.6757,                 3.1284,                 1.0267,             0.00027456,             0.00027456,             0.00027456
                     16,                 1.7599,                 2.5924,                 1.0639,                0.84086,                0.12644,                0.21916,                0.12409,                 1.6565,                 3.0145,                 1.0171,             0.00029161,             0.00029161,             0.00029161
                     17,                 1.7594,                 2.4497,                 1.0373,                0.73461,                0.18576,                0.25233,                0.14255,                 1.6348,                 2.9253,                 1.0115,             0.00030847,             0.00030847,             0.00030847
                     18,                 1.7369,                 2.3672,                 1.0481,                0.82463,                0.16001,                0.27446,                0.15094,                 1.6438,                  2.758,                 1.0178,             0.00032513,             0.00032513,             0.00032513
                     19,                 1.7691,                 2.2829,                 1.0526,                0.74758,                0.18625,                0.28184,                0.15929,                 1.6288,                 2.6602,                 1.0189,             0.00034159,             0.00034159,             0.00034159
                     20,                 1.6678,                 2.1121,                   1.04,                 0.7493,                0.20762,                0.30405,                0.17596,                 1.6144,                 2.5806,                  1.016,             0.00035785,             0.00035785,             0.00035785
                     21,                 1.7201,                 2.0385,                 1.0534,                0.74711,                0.24311,                0.34166,                0.20097,                 1.5906,                 2.4792,                 1.0075,             0.00037392,             0.00037392,             0.00037392
                     22,                 1.7467,                 2.0454,                 1.0392,                0.75907,                0.25913,                0.35745,                0.20644,                 1.5784,                 2.4276,                0.99897,             0.00038978,             0.00038978,             0.00038978
                     23,                 1.6778,                 1.8777,                 1.0374,                0.74895,                0.26515,                0.37588,                0.21344,                 1.5755,                 2.3696,                0.99973,             0.00040545,             0.00040545,             0.00040545
                     24,                 1.6189,                 1.7913,                 1.0141,                0.75095,                0.28856,                0.39303,                0.23101,                 1.5405,                 2.2483,                0.99386,             0.00042092,             0.00042092,             0.00042092
                     25,                 1.6337,                 1.7638,                 1.0253,                0.74729,                0.31031,                 0.3974,                0.23903,                 1.5054,                 2.0906,                0.98758,             0.00043619,             0.00043619,             0.00043619
                     26,                 1.5755,                  1.702,                 1.0126,                0.76227,                0.32338,                0.42737,                0.26214,                 1.4974,                 1.9264,                0.98168,             0.00043812,             0.00043812,             0.00043812
                     27,                  1.565,                  1.706,                 1.0041,                0.76057,                0.33039,                0.44934,                0.27486,                 1.4861,                 1.7964,                0.97893,             0.00043812,             0.00043812,             0.00043812
                     28,                 1.5642,                 1.6065,                  1.009,                0.63329,                0.35669,                0.47304,                0.29697,                 1.4575,                 1.6677,                0.97127,             0.00043565,             0.00043565,             0.00043565
                     29,                 1.5976,                 1.6048,                 1.0018,                0.53641,                0.38952,                0.49469,                0.30497,                 1.4663,                 1.5891,                0.97172,             0.00043317,             0.00043317,             0.00043317
                     30,                 1.5641,                 1.5516,                 1.0113,                0.56903,                0.40884,                0.51322,                0.31978,                 1.4453,                 1.5499,                0.96844,              0.0004307,              0.0004307,              0.0004307
                     31,                 1.5764,                 1.5008,                 1.0116,                0.59841,                0.41591,                 0.5533,                 0.3505,                 1.4421,                 1.5088,                0.96722,             0.00042822,             0.00042822,             0.00042822
                     32,                 1.5601,                 1.5036,                0.99017,                0.52356,                0.45904,                0.57059,                0.36311,                 1.4337,                 1.4993,                0.96745,             0.00042575,             0.00042575,             0.00042575
                     33,                 1.5096,                 1.4306,                0.99626,                0.53998,                0.47008,                 0.5832,                0.37388,                 1.4268,                 1.4626,                0.96844,             0.00042328,             0.00042328,             0.00042328
                     34,                  1.587,                 1.4554,                0.99055,                0.55874,                0.52409,                0.59387,                0.38079,                 1.4449,                 1.4228,                0.97606,              0.0004208,              0.0004208,              0.0004208
                     35,                 1.5152,                 1.3424,                0.99391,                0.59512,                0.56668,                0.61677,                0.40107,                 1.4304,                 1.3837,                 0.9756,             0.00041832,             0.00041832,             0.00041832
                     36,                  1.456,                 1.2962,                0.96957,                 0.6505,                0.58839,                0.65006,                0.42567,                 1.4131,                 1.3541,                0.96844,             0.00041585,             0.00041585,             0.00041585
                     37,                 1.4511,                 1.2798,                0.98276,                0.64485,                0.59455,                0.65196,                0.41669,                 1.4017,                 1.3217,                0.96119,             0.00041338,             0.00041338,             0.00041338
