                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.37289,                0.71672,                0.92385,                0.98202,                      1,                  0.995,                0.94302,                  0.362,                0.69952,                0.87811,              0.0004085,              0.0004085,              0.0004085
                     37,                0.43455,                0.76598,                0.95297,                0.98148,                      1,                  0.995,                0.93417,                 0.3802,                0.71876,                0.88987,             0.00038375,             0.00038375,             0.00038375
                     38,                0.38771,                0.71568,                0.93034,                0.98105,                      1,                  0.995,                0.93161,                0.38023,                0.72163,                0.88739,               0.000359,               0.000359,               0.000359
                     39,                0.37845,                0.71198,                0.88766,                0.98166,                      1,                  0.995,                0.94513,                0.37406,                 0.7183,                0.88287,             0.00033425,             0.00033425,             0.00033425
                     40,                0.39566,                0.71806,                0.92018,                0.98167,                      1,                  0.995,                0.95754,                0.35684,                0.71255,                0.87818,              0.0003095,              0.0003095,              0.0003095
                     41,                0.33527,                 1.2227,                0.88594,                0.97694,                      1,                  0.995,                0.97627,                0.34571,                 0.7302,                0.86993,             0.00028475,             0.00028475,             0.00028475
                     42,                0.31899,                 1.1131,                0.84126,                 0.9709,                      1,                  0.995,                0.94669,                0.34796,                0.81193,                0.87134,                0.00026,                0.00026,                0.00026
                     43,                0.31078,                 1.0965,                0.88687,                0.97066,                      1,                  0.995,                0.95551,                0.35588,                0.89727,                0.87701,             0.00023525,             0.00023525,             0.00023525
                     44,                0.33992,                   1.13,                0.85389,                0.94612,                      1,                  0.995,                0.94822,                0.36022,                0.94599,                0.87771,              0.0002105,              0.0002105,              0.0002105
                     45,                0.31233,                 1.1744,                0.87332,                0.96877,                      1,                  0.995,                0.94614,                0.37054,                0.88382,                0.88207,             0.00018575,             0.00018575,             0.00018575
                     46,                0.29541,                 1.1235,                0.85837,                0.97805,                      1,                  0.995,                0.94203,                0.38091,                0.78203,                0.88589,               0.000161,               0.000161,               0.000161
                     47,                0.29458,                 1.0313,                0.86011,                0.98301,                      1,                  0.995,                0.93579,                0.39164,                0.72164,                0.89198,             0.00013625,             0.00013625,             0.00013625
                     48,                0.29039,                 1.0206,                0.85552,                0.98669,                      1,                  0.995,                0.93783,                0.39249,                0.67601,                0.89203,              0.0001115,              0.0001115,              0.0001115
                     49,                0.29379,                0.99498,                0.83932,                0.98737,                      1,                  0.995,                0.93575,                0.38927,                0.65062,                0.88822,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.28424,                0.98066,                0.85687,                0.98697,                      1,                  0.995,                0.95337,                0.38381,                0.63507,                 0.8829,                6.2e-05,                6.2e-05,                6.2e-05
