                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45196,                0.90717,                0.94289,                0.96526,                0.99365,                  0.995,                0.92847,                0.39333,                  1.038,                0.88163,              0.0004085,              0.0004085,              0.0004085
                     37,                0.39717,                0.86433,                0.92874,                0.96526,                0.99365,                  0.995,                0.92847,                0.39333,                  1.038,                0.88163,             0.00038375,             0.00038375,             0.00038375
                     38,                0.40376,                0.84909,                0.94074,                0.90306,                      1,                  0.995,                0.90982,                0.44077,                 1.0229,                0.91064,               0.000359,               0.000359,               0.000359
                     39,                0.45224,                0.88448,                 0.9866,                0.91005,                0.99441,                  0.995,                0.90302,                0.47257,                0.95466,                0.94926,             0.00033425,             0.00033425,             0.00033425
                     40,                0.42588,                0.86706,                 0.9391,                0.97667,                      1,                  0.995,                0.89578,                0.49027,                0.88542,                0.97487,              0.0003095,              0.0003095,              0.0003095
                     41,                0.36511,                 1.3032,                0.88397,                0.97667,                      1,                  0.995,                0.89578,                0.49027,                0.88542,                0.97487,             0.00028475,             0.00028475,             0.00028475
                     42,                0.36828,                 1.3453,                0.92658,                0.96199,                0.99389,                  0.995,                0.88911,                0.48781,                0.91408,                0.96798,                0.00026,                0.00026,                0.00026
                     43,                0.35096,                 1.2744,                 0.9098,                 0.9049,                0.98959,                  0.995,                0.91603,                0.45828,                 1.0592,                0.93774,             0.00023525,             0.00023525,             0.00023525
                     44,                0.37456,                 1.2063,                0.93548,                0.92361,                0.96231,                  0.995,                0.92539,                0.42825,                  1.243,                0.89835,              0.0002105,              0.0002105,              0.0002105
                     45,                0.34711,                 1.3935,                0.86353,                0.92361,                0.96231,                  0.995,                0.92539,                0.42825,                  1.243,                0.89835,             0.00018575,             0.00018575,             0.00018575
                     46,                0.33717,                 1.3576,                0.82029,                0.92991,                0.97844,                  0.995,                0.92744,                0.41329,                 1.2822,                0.88163,               0.000161,               0.000161,               0.000161
                     47,                0.34922,                 1.4159,                0.84952,                0.94981,                0.98825,                  0.995,                0.93156,                0.40831,                 1.1896,                0.87208,             0.00013625,             0.00013625,             0.00013625
                     48,                0.33145,                 1.2912,                0.86065,                0.98299,                      1,                  0.995,                0.93007,                0.39793,                  1.017,                0.86596,              0.0001115,              0.0001115,              0.0001115
                     49,                0.32658,                 1.2649,                0.87322,                0.98299,                      1,                  0.995,                0.93007,                0.39793,                  1.017,                0.86596,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.31157,                  1.191,                0.87739,                 0.9775,                      1,                  0.995,                0.94044,                0.38993,                0.92014,                0.86558,                6.2e-05,                6.2e-05,                6.2e-05
