                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2432,                 4.8516,                 1.5146,                      0,                      0,                      0,                      0,                  1.964,                 4.8076,                 1.3656,                1.5e-05,                1.5e-05,                1.5e-05
                      2,                  2.139,                 4.8241,                 1.4326,                      0,                      0,                      0,                      0,                 1.8795,                 4.7683,                 1.3032,             3.4307e-05,             3.4307e-05,             3.4307e-05
                      3,                 2.0322,                 4.7294,                 1.3373,                      0,                      0,                      0,                      0,                 1.8026,                 4.6949,                 1.2235,             5.2822e-05,             5.2822e-05,             5.2822e-05
                      4,                 1.9495,                 4.5568,                 1.2481,                0.06667,                0.00632,                 0.0366,                0.01883,                 1.7871,                 4.6072,                  1.174,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      5,                 2.0633,                 4.3693,                 1.2676,                0.07857,                0.00944,                0.04445,                0.02788,                 1.7737,                 4.5719,                  1.146,             8.7476e-05,             8.7476e-05,             8.7476e-05
                      6,                 1.9106,                 4.2364,                 1.1769,                0.02832,                 0.0178,                0.02201,                0.01335,                 1.7832,                 4.5256,                 1.1387,             0.00010362,             0.00010362,             0.00010362
                      7,                 1.8343,                 4.1079,                 1.1489,                0.02814,                0.05033,                 0.0304,                0.01799,                 1.7563,                 4.4631,                 1.1054,             0.00011896,             0.00011896,             0.00011896
                      8,                 1.8546,                  3.951,                 1.1244,                0.02357,                0.06822,                 0.0438,                0.02569,                 1.7125,                 4.3865,                 1.0836,             0.00013352,             0.00013352,             0.00013352
                      9,                 1.8323,                 3.7576,                 1.0873,                0.02099,                0.08188,                0.05298,                0.03457,                 1.6527,                  4.292,                 1.0535,             0.00014728,             0.00014728,             0.00014728
                     10,                 1.8622,                 3.5423,                 1.1123,                  0.028,                0.10186,                0.06492,                0.04327,                 1.6352,                 4.1546,                 1.0457,             0.00016025,             0.00016025,             0.00016025
                     11,                 1.8166,                 3.3748,                 1.0871,                0.03706,                0.12918,                0.08187,                0.05483,                 1.6464,                 3.9936,                 1.0279,             0.00017243,             0.00017243,             0.00017243
                     12,                  1.797,                 3.2465,                 1.0713,                0.92245,                0.04367,                0.09126,                 0.0602,                 1.6505,                 3.8234,                 1.0316,             0.00018382,             0.00018382,             0.00018382
                     13,                 1.7378,                 3.1361,                 1.0531,                0.91773,                0.05626,                 0.1037,                0.06648,                  1.671,                 3.6513,                 1.0338,             0.00019441,             0.00019441,             0.00019441
                     14,                  1.814,                 3.0255,                 1.0627,                0.92758,                0.06568,                0.11523,                 0.0702,                 1.6744,                 3.5488,                 1.0331,             0.00020422,             0.00020422,             0.00020422
                     15,                 1.7904,                 2.9042,                 1.0513,                0.83826,                0.10535,                0.15934,                0.09419,                  1.664,                    3.3,                 1.0255,             0.00021323,             0.00021323,             0.00021323
                     16,                  1.776,                 2.7415,                 1.0702,                0.84642,                0.10345,                0.18597,                0.10999,                 1.6457,                  3.183,                 1.0147,             0.00022144,             0.00022144,             0.00022144
                     17,                 1.7644,                 2.5931,                 1.0414,                0.84417,                0.11047,                0.20609,                0.12149,                 1.6312,                 3.0917,                 1.0078,             0.00022887,             0.00022887,             0.00022887
                     18,                  1.738,                 2.5114,                 1.0445,                0.84287,                0.13949,                0.23285,                0.13513,                 1.6332,                 2.9273,                 1.0101,             0.00023551,             0.00023551,             0.00023551
                     19,                 1.7919,                 2.4489,                 1.0591,                0.86493,                0.12542,                0.24225,                0.14012,                 1.6269,                 2.8568,                   1.01,             0.00024135,             0.00024135,             0.00024135
                     20,                  1.689,                 2.3084,                 1.0459,                0.82826,                0.13695,                0.26754,                0.15538,                 1.6101,                  2.786,                 1.0078,              0.0002464,              0.0002464,              0.0002464
                     21,                 1.7366,                 2.2068,                  1.055,                0.68422,                0.17479,                0.28056,                0.16651,                 1.6126,                 2.6524,                 1.0089,             0.00025066,             0.00025066,             0.00025066
                     22,                 1.7631,                 2.2163,                 1.0441,                0.72469,                0.21064,                0.29648,                0.17478,                 1.6014,                 2.5652,                 1.0067,             0.00025413,             0.00025413,             0.00025413
                     23,                 1.6973,                 2.0719,                 1.0472,                0.72631,                0.22383,                0.31135,                0.18193,                 1.5908,                 2.4828,                 1.0015,              0.0002568,              0.0002568,              0.0002568
                     24,                 1.6448,                 1.9789,                 1.0259,                0.71602,                0.23831,                0.32065,                0.19054,                 1.5743,                 2.3908,                0.99712,             0.00025869,             0.00025869,             0.00025869
                     25,                 1.6483,                  1.936,                 1.0265,                0.71804,                0.28168,                0.33484,                0.19789,                 1.5666,                  2.304,                0.99788,             0.00025978,             0.00025978,             0.00025978
                     26,                 1.6154,                 1.8907,                 1.0167,                0.72257,                0.29509,                0.36814,                0.21955,                 1.5488,                 2.2021,                0.99167,              0.0002525,              0.0002525,              0.0002525
                     27,                 1.6015,                 1.9168,                 1.0106,                0.72177,                0.30852,                0.39581,                0.23863,                 1.5258,                 2.0773,                0.98665,              0.0002525,              0.0002525,              0.0002525
                     28,                 1.6009,                 1.8199,                  1.017,                0.72434,                0.32521,                0.40951,                0.25168,                 1.5049,                  1.925,                   0.98,              0.0002426,              0.0002426,              0.0002426
                     29,                 1.6485,                 1.7891,                 1.0122,                0.73885,                0.32431,                 0.4149,                0.25338,                 1.4971,                  1.801,                0.97747,              0.0002327,              0.0002327,              0.0002327
                     30,                 1.5927,                 1.7628,                 1.0188,                0.76755,                 0.3252,                0.42405,                0.26032,                  1.487,                 1.7159,                0.97585,              0.0002228,              0.0002228,              0.0002228
                     31,                 1.6317,                 1.7071,                  1.028,                0.78627,                0.32593,                 0.4395,                0.27224,                 1.4577,                 1.6434,                0.97158,              0.0002129,              0.0002129,              0.0002129
                     32,                 1.5803,                 1.6882,                0.99194,                0.70555,                0.33491,                 0.4617,                0.28774,                  1.445,                 1.6076,                   0.97,               0.000203,               0.000203,               0.000203
                     33,                 1.5575,                 1.6303,                 1.0073,                0.72741,                 0.3326,                0.47622,                0.29737,                 1.4302,                 1.5556,                0.96747,              0.0001931,              0.0001931,              0.0001931
                     34,                 1.6612,                 1.6798,                 1.0022,                0.75473,                0.32763,                0.49125,                0.30835,                 1.4219,                 1.5199,                0.96565,              0.0001832,              0.0001832,              0.0001832
                     35,                 1.5488,                 1.5491,                0.99634,                0.62086,                0.40387,                0.51196,                0.32285,                 1.4128,                 1.4846,                0.96477,              0.0001733,              0.0001733,              0.0001733
                     36,                 1.5116,                 1.5183,                0.97775,                0.66492,                0.42721,                0.52263,                0.33552,                 1.4033,                 1.4489,                0.96344,              0.0001634,              0.0001634,              0.0001634
