                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36181,                0.28495,                 2.1983,                0.97132,                0.19233,                      1,                0.86315,                 0.8241,                0.19233,                      1,                0.86315,                0.83565,                 0.2786,                0.22732,                 2.6556,                0.83704,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                0.39075,                 0.2899,                 2.1976,                 1.0099,                0.00334,                      1,                0.96714,                0.92449,                0.00334,                      1,                0.96714,                 0.9619,                 0.2566,                0.20349,                 2.6936,                0.82158,             7.8838e-05,             7.8838e-05,             7.8838e-05
                      3,                 0.3717,                 0.2999,                 2.1458,                0.92404,                0.85091,                0.39442,                0.97281,                0.94835,                0.85091,                0.39442,                0.97281,                   0.95,                0.26868,                0.25576,                 2.7032,                0.83897,             0.00011028,             0.00011028,             0.00011028
                      4,                0.31786,                0.27606,                 1.7954,                0.88989,                0.80022,                0.98005,                  0.995,                0.95148,                0.80022,                0.98005,                  0.995,                0.98413,                0.30265,                0.18639,                 2.4642,                 0.8482,             0.00013181,             0.00013181,             0.00013181
                      5,                0.32325,                0.24519,                 1.5909,                0.91992,                0.99245,                 0.5916,                0.96536,                0.92685,                0.99245,                 0.5916,                0.96536,                0.95599,                0.29274,                0.18957,                 2.3728,                0.83976,             0.00014345,             0.00014345,             0.00014345
                      6,                0.29943,                0.23691,                  1.592,                0.87507,                0.86948,                0.56152,                 0.9325,                0.88408,                0.86948,                0.56152,                 0.9325,                 0.9216,                0.30281,                0.18692,                  2.298,                0.85649,             0.00014519,             0.00014519,             0.00014519
                      7,                0.31375,                0.25408,                 1.7094,                0.88712,                0.87376,                0.75627,                0.91375,                0.87516,                0.87376,                0.75627,                0.91375,                0.90285,                 0.3005,                0.18512,                   2.21,                0.84642,             0.00013703,             0.00013703,             0.00013703
                      8,                0.28757,                 0.2348,                 1.4453,                0.86297,                0.89374,                0.87054,                  0.995,                0.96504,                0.89374,                0.87054,                  0.995,                 0.9841,                0.28381,                    0.2,                 2.0974,                0.82622,             0.00011896,             0.00011896,             0.00011896
                      9,                0.27067,                0.22263,                 1.5331,                0.88954,                 0.9082,                0.92515,                  0.995,                0.96186,                 0.9082,                0.92515,                  0.995,                0.98164,                0.26872,                0.20016,                 1.9855,                0.81717,                9.1e-05,                9.1e-05,                9.1e-05
                     10,                 0.2757,                0.19972,                 1.4217,                0.83407,                0.90893,                0.96688,                  0.995,                0.96498,                0.90893,                0.96688,                  0.995,                0.99101,                0.25231,                0.19575,                 1.8785,                0.80998,             5.3137e-05,             5.3137e-05,             5.3137e-05
