                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.424,                 1.2746,                 1.2087,                0.61547,                0.64256,                0.63646,                0.38118,                 1.6841,                 1.2903,                 1.3035,              0.0004208,              0.0004208,              0.0004208
                     35,                 1.4036,                 1.2546,                 1.2035,                0.67326,                0.61399,                 0.6318,                0.37853,                 1.6951,                  1.265,                 1.3011,             0.00041832,             0.00041832,             0.00041832
                     36,                 1.3774,                 1.2092,                  1.198,                 0.6864,                0.59282,                 0.6148,                0.37485,                 1.6985,                 1.2211,                  1.307,             0.00041585,             0.00041585,             0.00041585
                     37,                 1.4505,                 1.2482,                 1.2135,                0.72386,                 0.6495,                0.65278,                0.40735,                 1.6931,                 1.2299,                 1.2951,             0.00041338,             0.00041338,             0.00041338
                     38,                  1.426,                 1.2388,                 1.2063,                0.75001,                0.60269,                0.64823,                0.40677,                 1.6667,                 1.2306,                 1.3028,              0.0004109,              0.0004109,              0.0004109
                     39,                 1.4221,                 1.1912,                 1.1975,                0.73979,                0.59384,                0.65195,                0.40608,                 1.6758,                 1.2289,                 1.3049,             0.00040842,             0.00040842,             0.00040842
                     40,                 1.3905,                 1.2221,                  1.198,                 0.5787,                0.62129,                0.59395,                0.36691,                    1.7,                  1.341,                 1.3007,             0.00040595,             0.00040595,             0.00040595
                     41,                 1.3899,                 1.2021,                 1.1929,                0.59383,                0.60417,                0.58105,                0.36398,                 1.6779,                 1.3577,                 1.3016,             0.00040347,             0.00040347,             0.00040347
                     42,                 1.3624,                 1.1793,                 1.1852,                0.72303,                0.58349,                0.62775,                0.38454,                 1.7116,                 1.2229,                 1.3159,               0.000401,               0.000401,               0.000401
                     43,                 1.3747,                 1.2025,                 1.2106,                0.71754,                0.58378,                0.62908,                0.38417,                 1.7175,                 1.2459,                 1.3282,             0.00039853,             0.00039853,             0.00039853
                     44,                 1.3716,                 1.1471,                  1.173,                0.71722,                 0.5957,                0.64221,                0.39028,                 1.6954,                 1.2234,                 1.3079,             0.00039605,             0.00039605,             0.00039605
                     45,                 1.3497,                 1.1449,                 1.1613,                0.69717,                0.59133,                0.65855,                0.40374,                 1.6881,                 1.2012,                 1.2906,             0.00039358,             0.00039358,             0.00039358
                     46,                  1.376,                 1.1748,                 1.2009,                  0.739,                0.63053,                 0.6612,                0.40794,                 1.7143,                 1.1743,                   1.31,              0.0003911,              0.0003911,              0.0003911
                     47,                  1.387,                 1.1392,                 1.1744,                0.73109,                 0.6224,                0.65501,                0.40664,                 1.6892,                 1.1903,                 1.2939,             0.00038863,             0.00038863,             0.00038863
                     48,                 1.3285,                 1.1141,                 1.1542,                0.69643,                0.58781,                0.62894,                0.38538,                 1.7254,                 1.2699,                 1.3158,             0.00038615,             0.00038615,             0.00038615
                     49,                 1.3329,                 1.0916,                 1.1808,                0.61667,                0.58426,                0.62751,                0.38651,                 1.6972,                 1.2307,                 1.3031,             0.00038367,             0.00038367,             0.00038367
                     50,                 1.3511,                 1.1017,                 1.1834,                0.67305,                0.58615,                 0.5993,                0.37095,                 1.6981,                 1.2727,                  1.308,              0.0003812,              0.0003812,              0.0003812
                     51,                 1.3375,                 1.0807,                 1.1751,                0.70647,                0.56723,                0.61093,                0.36841,                 1.7143,                 1.2482,                 1.3094,             0.00037873,             0.00037873,             0.00037873
                     52,                 1.3454,                 1.1014,                 1.1878,                0.67889,                0.62724,                0.63533,                0.39081,                  1.687,                 1.1638,                 1.3014,             0.00037625,             0.00037625,             0.00037625
                     53,                 1.3178,                 1.0575,                 1.1815,                0.67474,                 0.5957,                0.63296,                0.38372,                 1.7089,                 1.1704,                 1.3133,             0.00037378,             0.00037378,             0.00037378
                     54,                 1.3558,                 1.0685,                 1.1764,                0.61075,                0.62324,                0.62549,                 0.3729,                 1.6886,                 1.1641,                  1.304,              0.0003713,              0.0003713,              0.0003713
                     55,                 1.3544,                 1.0448,                 1.1556,                0.68363,                0.58227,                0.63967,                0.38774,                 1.6914,                 1.1923,                  1.302,             0.00036883,             0.00036883,             0.00036883
                     56,                 1.3292,                 1.0499,                 1.1589,                0.62339,                0.63927,                0.62921,                0.38533,                 1.6866,                 1.2118,                 1.2949,             0.00036635,             0.00036635,             0.00036635
                     57,                 1.3071,                 1.0094,                 1.1538,                0.69139,                0.63265,                 0.6445,                0.39495,                 1.7069,                 1.1979,                 1.3012,             0.00036387,             0.00036387,             0.00036387
                     58,                 1.3587,                 1.0603,                 1.1668,                0.70722,                0.60037,                 0.6378,                 0.3906,                 1.6962,                  1.192,                 1.3014,              0.0003614,              0.0003614,              0.0003614
                     59,                 1.3078,                 1.0405,                 1.1843,                0.66366,                0.64695,                  0.638,                0.39371,                 1.7106,                 1.1952,                 1.3082,             0.00035893,             0.00035893,             0.00035893
                     60,                 1.3214,                 1.0282,                  1.163,                0.64992,                0.61054,                0.63844,                0.39429,                 1.7088,                 1.1859,                 1.3035,             0.00035645,             0.00035645,             0.00035645
                     61,                  1.304,                 1.0232,                 1.1519,                0.72541,                0.60151,                0.62873,                0.37968,                 1.7622,                 1.1802,                 1.3336,             0.00035398,             0.00035398,             0.00035398
                     62,                   1.29,                  1.024,                 1.1503,                 0.7408,                0.62143,                0.62952,                0.39058,                 1.7165,                 1.1317,                 1.3103,              0.0003515,              0.0003515,              0.0003515
                     63,                 1.3186,                 1.0113,                 1.1575,                0.63922,                0.62204,                0.61349,                0.38193,                  1.706,                 1.1521,                  1.301,             0.00034903,             0.00034903,             0.00034903
                     64,                 1.2938,                 1.0054,                 1.1353,                0.74061,                 0.6167,                0.67278,                0.41714,                 1.7156,                 1.1529,                  1.309,             0.00034655,             0.00034655,             0.00034655
                     65,                 1.2888,                0.99519,                  1.149,                0.66373,                0.63054,                 0.6613,                0.39551,                  1.725,                 1.1815,                 1.3168,             0.00034408,             0.00034408,             0.00034408
                     66,                 1.2704,                0.99774,                 1.1533,                0.73278,                0.63071,                0.65638,                0.40097,                 1.6971,                 1.1429,                 1.2966,              0.0003416,              0.0003416,              0.0003416
