                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8569,                 4.3569,                 1.5457,                0.07082,                0.06086,                0.04501,                0.03165,                 1.7965,                 4.2871,                 1.3506,                0.00013,                0.00013,                0.00013
                      2,                 1.7239,                 3.6493,                 1.3926,                0.03017,                0.61931,                0.09603,                 0.0564,                 1.7345,                 3.5812,                 1.3048,             0.00026238,             0.00026238,             0.00026238
                      3,                 1.7109,                 3.0608,                  1.388,                0.34585,                0.22466,                0.16857,                0.09625,                 1.8056,                   2.79,                 1.4053,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.7457,                 2.7157,                 1.4004,                0.29994,                0.37723,                0.23666,                0.14573,                 1.8231,                  2.482,                 1.4079,             0.00048515,             0.00048515,             0.00048515
                      5,                 1.6898,                 2.4905,                 1.3893,                0.27369,                0.36855,                0.28449,                0.16771,                 1.7869,                 2.1378,                 1.4265,             0.00048515,             0.00048515,             0.00048515
                      6,                 1.6899,                 2.3409,                 1.3863,                0.31066,                0.41684,                0.31542,                0.18177,                 1.7588,                 2.1387,                 1.3847,              0.0004802,              0.0004802,              0.0004802
                      7,                 1.6776,                 2.2279,                 1.3547,                0.34529,                0.47734,                0.37965,                0.22336,                  1.743,                 1.9532,                 1.3553,             0.00047525,             0.00047525,             0.00047525
                      8,                 1.6675,                 2.1489,                  1.379,                0.38734,                0.40305,                0.40878,                0.24927,                 1.7409,                 2.0007,                 1.3534,              0.0004703,              0.0004703,              0.0004703
                      9,                 1.6075,                 2.0518,                 1.3424,                0.39594,                0.49926,                0.43402,                0.25613,                 1.7529,                 1.8642,                  1.368,             0.00046535,             0.00046535,             0.00046535
                     10,                 1.6097,                 1.9625,                 1.3129,                0.38829,                0.50459,                0.44281,                0.26989,                  1.744,                 1.7327,                 1.3505,              0.0004604,              0.0004604,              0.0004604
                     11,                 1.5927,                 1.8531,                 1.3087,                0.49067,                0.54278,                0.48299,                0.28977,                 1.7099,                 1.6478,                  1.354,             0.00045545,             0.00045545,             0.00045545
                     12,                 1.5987,                 1.8408,                 1.3054,                0.56722,                0.53384,                0.50342,                0.30957,                  1.677,                 1.6037,                 1.3228,              0.0004505,              0.0004505,              0.0004505
                     13,                 1.5634,                 1.7456,                  1.286,                0.51004,                0.52681,                0.51713,                0.32239,                 1.6697,                 1.5995,                 1.3137,             0.00044555,             0.00044555,             0.00044555
                     14,                  1.551,                 1.7443,                 1.2703,                0.49561,                0.54215,                0.50251,                0.30416,                 1.7332,                 1.5231,                 1.3543,              0.0004406,              0.0004406,              0.0004406
                     15,                 1.5716,                 1.7126,                 1.3143,                0.52538,                0.54189,                0.52359,                0.31627,                 1.7143,                 1.4991,                  1.337,             0.00043565,             0.00043565,             0.00043565
                     16,                 1.5077,                 1.6166,                 1.2762,                0.62499,                0.53449,                0.54732,                0.33861,                 1.6825,                 1.4487,                 1.3147,              0.0004307,              0.0004307,              0.0004307
                     17,                 1.5325,                 1.5989,                 1.2932,                0.53042,                0.53758,                0.53935,                0.32663,                 1.7097,                 1.4606,                 1.3308,             0.00042575,             0.00042575,             0.00042575
                     18,                 1.5214,                 1.6217,                 1.2796,                0.64866,                0.53039,                0.54536,                0.33015,                 1.6903,                 1.4353,                 1.3305,              0.0004208,              0.0004208,              0.0004208
                     19,                 1.5302,                 1.5822,                 1.2789,                0.61624,                0.48186,                0.55628,                0.34189,                 1.7079,                 1.4297,                 1.3358,             0.00041585,             0.00041585,             0.00041585
                     20,                 1.4797,                 1.5321,                 1.2735,                0.55767,                0.57129,                0.57686,                0.35875,                 1.7192,                 1.4178,                 1.3328,              0.0004109,              0.0004109,              0.0004109
                     21,                 1.4449,                 1.4419,                 1.2354,                 0.5038,                0.60355,                0.57571,                0.34808,                 1.7316,                 1.3929,                 1.3559,             0.00040595,             0.00040595,             0.00040595
                     22,                 1.4828,                 1.4483,                 1.2691,                0.58381,                0.57292,                0.58494,                0.36195,                 1.7009,                 1.3513,                  1.318,               0.000401,               0.000401,               0.000401
                     23,                 1.4681,                 1.4105,                 1.2311,                0.55974,                0.59241,                0.57514,                0.35079,                 1.6767,                  1.365,                 1.2929,             0.00039605,             0.00039605,             0.00039605
                     24,                 1.4612,                 1.3852,                  1.239,                0.61138,                0.55563,                0.57866,                0.35392,                 1.6938,                 1.3532,                 1.2972,              0.0003911,              0.0003911,              0.0003911
                     25,                 1.4423,                 1.4231,                 1.2422,                0.65055,                0.57487,                0.59464,                0.36391,                 1.6894,                 1.3929,                 1.3135,             0.00038615,             0.00038615,             0.00038615
                     26,                  1.459,                 1.3801,                 1.2396,                0.64745,                0.63454,                0.60829,                 0.3734,                  1.716,                 1.3618,                 1.3303,              0.0003812,              0.0003812,              0.0003812
                     27,                 1.4814,                  1.403,                 1.2414,                0.72359,                0.55513,                0.59744,                0.36668,                 1.6796,                 1.3266,                 1.3075,             0.00037625,             0.00037625,             0.00037625
                     28,                 1.4575,                 1.3328,                 1.2368,                0.61907,                0.62321,                0.61382,                0.36416,                 1.6759,                 1.2905,                 1.3079,              0.0003713,              0.0003713,              0.0003713
                     29,                 1.4411,                 1.2898,                  1.215,                0.62044,                0.56937,                0.61061,                0.37333,                 1.7148,                 1.3037,                 1.3291,             0.00036635,             0.00036635,             0.00036635
                     30,                 1.4277,                 1.2764,                 1.1995,                0.59803,                0.59843,                0.59112,                0.36486,                 1.7015,                  1.346,                 1.3063,              0.0003614,              0.0003614,              0.0003614
                     31,                  1.458,                 1.3137,                 1.2228,                0.58949,                0.61419,                0.61266,                0.38464,                 1.6595,                  1.265,                 1.2882,             0.00035645,             0.00035645,             0.00035645
                     32,                 1.4698,                 1.2698,                 1.1956,                0.55594,                0.62974,                 0.6427,                 0.3995,                 1.6665,                 1.2872,                 1.2927,              0.0003515,              0.0003515,              0.0003515
                     33,                  1.402,                 1.2255,                 1.2022,                 0.6266,                0.65145,                0.63938,                0.38996,                 1.6879,                   1.27,                 1.2969,             0.00034655,             0.00034655,             0.00034655
                     34,                 1.4134,                  1.267,                 1.2017,                0.60609,                0.64161,                0.63923,                0.39952,                 1.6723,                 1.2531,                  1.285,              0.0003416,              0.0003416,              0.0003416
                     35,                 1.3942,                 1.2361,                 1.1973,                0.65384,                0.62519,                0.62572,                0.38833,                 1.7086,                 1.3227,                 1.3067,             0.00033665,             0.00033665,             0.00033665
                     36,                 1.3767,                 1.2235,                 1.1959,                0.67392,                0.61675,                0.64565,                 0.4018,                 1.6999,                 1.2443,                 1.3084,              0.0003317,              0.0003317,              0.0003317
                     37,                 1.4409,                 1.2465,                 1.2074,                0.57711,                0.64067,                0.64783,                0.40838,                 1.6869,                 1.2374,                 1.2855,             0.00032675,             0.00032675,             0.00032675
