                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2432,                 4.8516,                 1.5146,                      0,                      0,                      0,                      0,                  1.964,                 4.8076,                 1.3656,                1.5e-05,                1.5e-05,                1.5e-05
                      2,                 2.1385,                 4.8236,                 1.4323,                      0,                      0,                      0,                      0,                 1.8997,                 4.7763,                 1.3143,             3.4654e-05,             3.4654e-05,             3.4654e-05
                      3,                 2.0565,                 4.7549,                 1.3596,                      0,                      0,                      0,                      0,                 1.8078,                 4.7123,                 1.2345,             5.3911e-05,             5.3911e-05,             5.3911e-05
                      4,                 1.9616,                 4.5772,                 1.2587,                   0.06,                0.00316,                 0.0321,                0.02163,                 1.7705,                 4.6147,                 1.1659,             7.2772e-05,             7.2772e-05,             7.2772e-05
                      5,                 2.0701,                 4.3927,                 1.2734,                0.09286,                0.00944,                  0.051,                0.03267,                 1.7507,                 4.5764,                 1.1402,             9.1238e-05,             9.1238e-05,             9.1238e-05
                      6,                 1.9207,                 4.2516,                 1.1781,                0.04446,                0.02197,                0.03186,                0.01887,                   1.77,                 4.5257,                 1.1274,             0.00010931,             0.00010931,             0.00010931
                      7,                 1.8365,                 4.1091,                 1.1466,                0.02961,                0.03824,                0.03188,                0.02067,                 1.7414,                 4.4623,                 1.1058,             0.00012698,             0.00012698,             0.00012698
                      8,                 1.8636,                 3.9457,                 1.1232,                0.02847,                0.06347,                0.04345,                0.02749,                 1.7009,                 4.3819,                 1.0792,             0.00014426,             0.00014426,             0.00014426
                      9,                 1.8321,                 3.7335,                 1.0841,                 0.0229,                0.08235,                0.05356,                0.03592,                  1.655,                 4.2723,                 1.0511,             0.00016114,             0.00016114,             0.00016114
                     10,                 1.8783,                   3.52,                 1.1133,                0.02533,                0.11232,                0.06826,                0.04378,                 1.6468,                 4.1165,                 1.0369,             0.00017763,             0.00017763,             0.00017763
                     11,                 1.8138,                 3.3347,                 1.0866,                0.91965,                0.04342,                0.08608,                0.05587,                  1.655,                 3.9707,                 1.0314,             0.00019372,             0.00019372,             0.00019372
                     12,                 1.8028,                 3.2121,                 1.0673,                0.91074,                0.05569,                0.09577,                 0.0596,                 1.6762,                 3.7985,                 1.0357,             0.00020941,             0.00020941,             0.00020941
                     13,                 1.7368,                 3.0764,                 1.0504,                0.90999,                0.06522,                0.10755,                0.06528,                 1.6851,                 3.6346,                 1.0344,             0.00022471,             0.00022471,             0.00022471
                     14,                 1.8046,                 2.9539,                 1.0578,                0.91703,                0.07506,                0.12264,                 0.0726,                 1.6731,                 3.5413,                 1.0324,             0.00023961,             0.00023961,             0.00023961
                     15,                 1.7841,                 2.8209,                  1.046,                0.73368,                0.11508,                0.18005,                0.10458,                 1.6604,                 3.2906,                 1.0241,             0.00025411,             0.00025411,             0.00025411
                     16,                 1.7594,                 2.6408,                 1.0649,                 0.5525,                0.19331,                0.20196,                0.12008,                  1.645,                 3.1629,                 1.0158,             0.00026822,             0.00026822,             0.00026822
                     17,                 1.7524,                 2.4958,                 1.0376,                0.25447,                0.34025,                0.21046,                0.12391,                 1.6376,                 3.0686,                 1.0138,             0.00028194,             0.00028194,             0.00028194
                     18,                 1.7338,                 2.4193,                 1.0441,                0.51515,                0.27838,                0.24165,                0.13981,                 1.6239,                 2.8617,                 1.0107,             0.00029525,             0.00029525,             0.00029525
                     19,                 1.7754,                 2.3671,                  1.052,                0.82494,                  0.139,                0.26216,                0.15588,                 1.6097,                 2.7637,                 1.0079,             0.00030818,             0.00030818,             0.00030818
                     20,                 1.6727,                 2.1886,                 1.0373,                0.73239,                0.17668,                0.27591,                  0.166,                 1.5972,                 2.6853,                 1.0047,              0.0003207,              0.0003207,              0.0003207
                     21,                 1.7338,                 2.1068,                  1.055,                0.73119,                0.21433,                0.30911,                0.18331,                 1.6022,                 2.5856,                  1.007,             0.00033283,             0.00033283,             0.00033283
                     22,                 1.7499,                  2.101,                 1.0384,                0.74756,                0.22568,                0.33213,                0.19851,                 1.5973,                 2.4942,                 1.0032,             0.00034456,             0.00034456,             0.00034456
                     23,                 1.6983,                 1.9357,                 1.0397,                0.73875,                0.25614,                0.34446,                0.20281,                 1.5859,                 2.3908,                0.99707,              0.0003559,              0.0003559,              0.0003559
                     24,                  1.632,                 1.8499,                 1.0173,                0.70546,                 0.2782,                0.35463,                0.20984,                 1.5642,                  2.253,                0.99458,             0.00036684,             0.00036684,             0.00036684
                     25,                 1.6544,                 1.8155,                 1.0267,                0.70758,                0.29726,                0.36804,                0.21661,                 1.5517,                 2.1209,                 0.9912,             0.00037739,             0.00037739,             0.00037739
